Date,Open,High,Low,Close,Adj Close,Volume
2018-10-28,6406.5,6419,6395.5,6407,6407,320256569
2018-10-29,6407,6449,6382.5,6408,6408,382180051
2018-10-30,6408,6415.5,6209,6266.5,6266.5,1481206621
2018-10-31,6266.5,6294,6255,6272,6272,621247379
2018-11-01,6272,6345,6210,6307,6307,1038552067
2018-11-02,6307,6370,6302,6337,6337,527664071
2018-11-03,6337,6387,6328,6346,6346,779817385
2018-11-04,6346,6348.5,6316.5,6332.5,6332.5,418518243
2018-11-05,6332.5,6471,6322.5,6427.5,6427.5,1079190784
2018-11-06,6427.5,6445.5,6380,6404,6404,680611418
2018-11-07,6404,6460,6387,6450.5,6450.5,1009689725
2018-11-08,6450.5,6568,6434.5,6510.5,6510.5,1199489873
2018-11-09,6510.5,6524,6372.5,6414,6414,1340385486
2018-11-10,6414,6420.5,6310,6338.5,6338.5,1238135158
2018-11-11,6338.5,6379,6334.5,6353.5,6353.5,463914785
2018-11-12,6353.5,6380,6260,6361,6361,769461393
2018-11-13,6361,6406,6305.5,6337.5,6337.5,976781774
2018-11-14,6337.5,6338,6235,6249,6249,1366233784
2018-11-15,6249,6296,5231,5586,5586,5165120528
2018-11-16,5586,5639.5,5181,5581,5581,3649588056
2018-11-17,5581,5619,5406,5511,5511,1716661902
2018-11-18,5511,5557,5450.5,5501.5,5501.5,854000974
2018-11-19,5501.5,5690,5501.5,5556,5556,935728658
2018-11-20,5556,5557,4665,4743,4743,5232596594
2018-11-21,4743,4897,4010,4348.5,4348.5,6489034529
2018-11-22,4348.5,4654,4229,4537,4537,3428477052
2018-11-23,4537,4598,4235.5,4266.5,4266.5,1921804140
2018-11-24,4266.5,4382,4068,4283,4283,2602831127
2018-11-25,4283,4378,3627,3768.5,3768.5,2444429081
2018-11-26,3768.5,4120,3430,3930.5,3930.5,3937118449
2018-11-27,3930.5,4080,3492,3724.5,3724.5,3724730922
2018-11-28,3724.5,3837,3563.5,3769,3769,2530263160
2018-11-29,3769,4357,3768.5,4219,4219,3147203385
2018-11-30,4219,4423,4085,4242,4242,2592414278
2018-12-01,4242,4299,3860,3972,3972,2584621533
2018-12-02,3972,4266,3903.5,4136.5,4136.5,1640007226
2018-12-03,4136.5,4270,4025,4096.5,4096.5,1787717143
2018-12-04,4096.5,4118.5,3729.5,3829.5,3829.5,1946677836
2018-12-05,3829.5,4042,3730,3902,3902,1935438543
2018-12-06,3902,3917,3655,3695.5,3695.5,1775227694
2018-12-07,3695.5,3843,3400,3430.5,3430.5,2752500328
2018-12-08,3430.5,3542,3200,3369,3369,2747024120
2018-12-09,3369,3500,3246,3397,3397,1640637903
2018-12-10,3397,3630,3370.5,3526.5,3526.5,1456049836
2018-12-11,3526.5,3596,3350,3406,3406,1601488752
2018-12-12,3406,3422,3281.5,3344,3344,1214572434
2018-12-13,3344,3493.5,3321.5,3431.5,3431.5,1211426170
2018-12-14,3431.5,3439,3217.5,3257.5,3257.5,1424966157
2018-12-15,3257.5,3300,3134.5,3193,3193,1536196893
2018-12-16,3193,3226,3121,3183,3183,1009582711
2018-12-17,3183,3260,3177,3189.5,3189.5,1025712865
2018-12-18,3189.5,3590,3178,3495.5,3495.5,2156458993
2018-12-19,3495.5,3690,3435,3665,3665,2155901030
2018-12-20,3665,3916.5,3641,3680,3680,3567541648
2018-12-21,3680,4174,3654.5,4069,4069,3971091014
2018-12-22,4069,4168,3770,3841,3841,3040224454
2018-12-23,3841,4007,3783.5,3981,3981,1679000836
2018-12-24,3981,4055,3903,3944,3944,1492831124
2018-12-25,3944,4241,3943.5,4033.5,4033.5,2193196042
2018-12-26,4033.5,4043,3670.5,3777,3777,1991914841
2018-12-27,3777,3868,3683,3806.5,3806.5,1419107616
2018-12-28,3806.5,3842,3565,3588,3588,1386767145
2018-12-29,3588,3960,3568,3889.5,3889.5,1542324018
2018-12-30,3889.5,3944,3650,3712,3712,1267439193
2018-12-31,3712,3898.5,3671,3830.5,3830.5,1225535573
2019-01-01,3830.5,3839.5,3615,3693,3693,976475574
2019-01-02,3693,3870,3630.5,3824,3824,902868031
2019-01-03,3824,3918,3762,3888,3888,1074586398
2019-01-04,3888,3891,3748,3784,3784,880837736
2019-01-05,3784,3850,3721.5,3817,3817,907202598
2019-01-06,3817,3879,3767,3794.5,3794.5,742213108
2019-01-07,3794.5,4082,3750,4039,4039,1072137901
2019-01-08,4039,4074,3970,4005,4005,950704483
2019-01-09,4005,4130,3937,3995.5,3995.5,1297065278
2019-01-10,3995.5,4045,3959.5,4001,4001,900335908
2019-01-11,4001,4036,3512,3622,3622,1648035760
2019-01-12,3622,3698,3561.5,3631.5,3631.5,1011606061
2019-01-13,3631.5,3652,3550,3613,3613,545041398
2019-01-14,3613,3638,3479,3513,3513,800495107
2019-01-15,3513,3718,3506.5,3663,3663,938603871
2019-01-16,3663,3684,3535,3574.5,3574.5,822695898
2019-01-17,3574.5,3664,3568,3607.5,3607.5,860220650
2019-01-18,3607.5,3660,3540,3637,3637,943447538
2019-01-19,3637,3639.5,3571.5,3606,3606,656428321
2019-01-20,3606,3784.5,3605,3681.5,3681.5,745711298
2019-01-21,3681.5,3700,3450,3535,3535,1016540362
2019-01-22,3535,3575,3474.5,3529.5,3529.5,763124348
2019-01-23,3529.5,3608.5,3405,3578,3578,1148206703
2019-01-24,3578,3617.5,3522,3551,3551,904277332
2019-01-25,3551,3590,3526.5,3568,3568,721324540
2019-01-26,3568,3577,3501,3560.5,3560.5,770190679
2019-01-27,3560.5,3672.5,3530,3554.5,3554.5,824768395
2019-01-28,3554.5,3558.5,3462.5,3527.5,3527.5,791531675
2019-01-29,3527.5,3530,3370,3428,3428,1600983915
2019-01-30,3428,3435.5,3343,3391,3391,995168687
2019-01-31,3391,3460,3372.5,3434,3434,930964392
2019-02-01,3434,3473,3392.5,3413.5,3413.5,743028351
2019-02-02,3413.5,3460,3374.5,3435.5,3435.5,879858333
2019-02-03,3435.5,3484.5,3414,3464,3464,728919652
2019-02-04,3464,3470.5,3382.5,3414,3414,763280076
2019-02-05,3414,3435,3394,3406.5,3406.5,554983495
2019-02-06,3406.5,3430,3396,3428.5,3428.5,435570729
2019-02-07,3428.5,3446,3330,3365.5,3365.5,929931861
2019-02-08,3365.5,3378.5,3350.5,3357,3357,333273271
2019-02-09,3357,3728,3341,3626,3626,1755549256
2019-02-10,3626,3642.5,3595,3626,3626,664676512
2019-02-11,3626,3660,3575,3648,3648,732314688
2019-02-12,3648,3652.5,3575.5,3591,3591,744728832
2019-02-13,3591,3618,3550,3587.5,3587.5,870328982
2019-02-14,3587.5,3632,3562.5,3577,3577,649214457
2019-02-15,3577,3590,3533,3560,3560,591406772
2019-02-16,3560,3615,3536.5,3565,3565,728403854
2019-02-17,3565,3609.5,3564,3579.5,3579.5,627259315
2019-02-18,3579.5,3680,3553,3623.5,3623.5,1019233948
2019-02-19,3623.5,3919,3615,3867.5,3867.5,2873418963
2019-02-20,3867.5,3972,3838,3888,3888,2058087199
2019-02-21,3888,3958,3868.5,3938.5,3938.5,1248217490
2019-02-22,3938.5,3995,3863,3897.5,3897.5,1211912456
