"name","eng_value","generation_time"
"TTH15A","19.068826","1584458136652812500"
"TTH15A","19.028340","1584458648648906250"
"TTH15A","19.068826","1584459032645000000"
"TTH15A","19.028340","1584459544652812500"
"TTH15A","18.987854","1584461848656718750"
"TTH15A","19.028340","1584463512652812500"
"TTH15A","18.987854","1584463768656718750"
"TTH15A","18.582996","1584503544660625000"
"TTH15A","18.987854","1584464024656718750"
"TTH15A","18.947368","1584466072656718750"
"TTH15A","18.906883","1584468760656718750"
"TTH15A","18.947368","1584469656652812500"
"TTH15A","18.906883","1584470168656718750"
"TTH15A","18.947368","1584471192652812500"
"TTH15A","18.906883","1584471448652812500"
"TTH15A","18.866397","1584473240656718750"
"TTH15A","18.825911","1584477976656718750"
"TTH15A","18.785425","1584480536656718750"
"TTH15A","18.825911","1584481816656718750"
"TTH15A","18.785425","1584482072656718750"
"TTH15A","18.825911","1584483352645000000"
"TTH15A","18.785425","1584483480656718750"
"TTH15A","18.582996","1584503552656718750"
"TTH15A","18.785425","1584483864660625000"
"TTH15A","18.744939","1584484888656718750"
"TTH15A","18.704453","1584488856656718750"
"TTH15A","18.744939","1584489496652812500"
"TTH15A","18.704453","1584489880652812500"
"TTH15A","18.663968","1584492696656718750"
"TTH15A","18.704453","1584493976656718750"
"TTH15A","18.663968","1584494360648906250"
"TTH15A","18.623482","1584497560656718750"
"TTH15A","18.582996","1584501272648906250"
"TTH15A","18.623482","1584501400652812500"
"TTH15A","18.582996","1584502296656718750"
"TTH15A","18.623482","1584503064656718750"
"TTH15A","18.582996","1584503192656718750"
"TTH15A","19.109312","1584457496648906250"
"TTH15A","19.068826","1584457624652812500"
"TTH15A","18.582996","1584503560660625000"
"TTH15A","19.068826","1584458008656718750"
"TTH15A","20.322581","1584372760648906250"
"TTH15A","18.987854","1583508504648906250"
"TTH15A","18.259109","1579579416652812500"
"TTH15A","*NO VAL*","1584543192656718750"
"TTH15A","18.218623","1579585432652812500"
"TTH15A","18.259109","1579587608648906250"
"TTH15A","18.218623","1579587864648906250"
"TTH15A","18.582996","1584503568656718750"
"TTH15A","18.25910931174089","1584543200656718750"
"TTH15A","18.21862348178138","1584543216656718750"
"TTH15A","18.582995951417004","1584503576656718750"
"TTH15A","18.623482","1584503168660625000"
"TTH15A","18.582996","1584503176656718750"
"TTH15A","18.623482","1584503184656718750"
"TTH15A","18.582996","1584503192656718750"
"TTH15A","18.623482","1584503200656718750"
"TTH15A","18.582996","1584503208656718750"
"TTH15A","18.54251012145749","1584504984656718750"
"TTH15A","18.582995951417004","1584505240656718750"
"TTH15A","18.54251012145749","1584505368656718750"
"TTH15A","18.582995951417004","1584506136656718750"
"TTH15A","18.54251012145749","1584506520656718750"
"TTH15A","18.21862348178138","1584543360656718750"
"TTH15A","18.54251012145749","1584506904656718750"
"TTH15A","18.582995951417004","1584507800656718750"
"TTH15A","18.54251012145749","1584507928656718750"
"TTH15A","18.502024291497975","1584510104656718750"
"TTH15A","18.54251012145749","1584512280656718750"
"TTH15A","18.502024291497975","1584512408656718750"
"TTH15A","18.46153846153846","1584514712656718750"
"TTH15A","18.42105263157895","1584517528656718750"
"TTH15A","18.46153846153846","1584517656656718750"
"TTH15A","18.42105263157895","1584517912656718750"
"TTH15A","18.46153846153846","1584518296656718750"
"TTH15A","18.42105263157895","1584519064656718750"
"TTH15A","18.46153846153846","1584519960660625000"
"TTH15A","18.42105263157895","1584520216656718750"
"TTH15A","18.380566801619434","1584522520656718750"
"TTH15A","18.42105263157895","1584524440656718750"
"TTH15A","18.380566801619434","1584524696656718750"
"TTH15A","18.42105263157895","1584525976656718750"
"TTH15A","18.380566801619434","1584526104656718750"
"TTH15A","18.21862348178138","1584543368656718750"
"TTH15A","18.380566801619434","1584526872660625000"
"TTH15A","18.34008097165992","1584528280656718750"
"TTH15A","18.299595141700404","1584533144656718750"
"TTH15A","18.25910931174089","1584537368656718750"
"TTH15A","18.299595141700404","1584538136652812500"
"TTH15A","18.25910931174089","1584538648656718750"
"TTH15A","18.21862348178138","1584541720660625000"
"TTH15A","18.25910931174089","1584542616656718750"
"TTH15A","18.21862348178138","1584543256656718750"
"TTH15A","18.62348178137652","1584497944656718750"
"TTH15A","18.582995951417004","1584501272648906250"
"TTH15A","18.62348178137652","1584501400652812500"
"TTH15A","18.21862348178138","1584543376656718750"
"TTH15A","18.62348178137652","1584502040656718750"
"TTH15A","18.582995951417004","1584502296656718750"
"TTH15A","18.62348178137652","1584503064656718750"
"TTH15A","18.582995951417004","1584503192656718750"
"TTH15A","19.10931174089069","1584457496648906250"
"TTH15A","19.068825910931174","1584457624652812500"
"TTH15A","20.32258064516129","1584372760648906250"
"TTH15A","18.987854251012145","1583508504648906250"
"TTH15A","18.25910931174089","1579579416652812500"
"TTH15A","18.21862348178138","1579585432652812500"
"TTH15A","18.25910931174089","1579587608648906250"
"TTH15A","18.21862348178138","1579587864648906250"
"TTH15A","*NO VAL*","1584543192656718750"
"TTH15A","18.259109","1584543200656718750"
"TTH15A","18.218623","1584543216656718750"
"TTH15A","18.582996","1584503576656718750"
"TTH15A","18.542510","1584504984656718750"
"TTH15A","18.582996","1584505240656718750"
"TTH15A","18.542510","1584505368656718750"
"TTH15A","18.582996","1584506136656718750"
"TTH15A","18.542510","1584506520656718750"
"TTH15A","18.218623","1584543360656718750"
"TTH15A","18.542510","1584506904656718750"
"TTH15A","18.582996","1584507800656718750"
"TTH15A","18.542510","1584507928656718750"
"TTH15A","18.502024","1584510104656718750"
"TTH15A","18.542510","1584512280656718750"
"TTH15A","18.502024","1584512408656718750"
"TTH15A","18.461538","1584514712656718750"
"TTH15A","18.421053","1584517528656718750"
"TTH15A","18.461538","1584517656656718750"
"TTH15A","18.421053","1584517912656718750"
"TTH15A","18.461538","1584518296656718750"
"TTH15A","18.421053","1584519064656718750"
"TTH15A","18.461538","1584519960660625000"
"TTH15A","18.421053","1584520216656718750"
"TTH15A","18.380567","1584522520656718750"
"TTH15A","18.421053","1584524440656718750"
"TTH15A","18.380567","1584524696656718750"
"TTH15A","18.421053","1584525976656718750"
"TTH15A","18.380567","1584526104656718750"
"TTH15A","18.218623","1584543368656718750"
"TTH15A","18.380567","1584526872660625000"
"TTH15A","18.340081","1584528280656718750"
"TTH15A","18.299595","1584533144656718750"
"TTH15A","18.259109","1584537368656718750"
"TTH15A","18.299595","1584538136652812500"
"TTH15A","18.259109","1584538648656718750"
"TTH15A","18.218623","1584541720660625000"
"TTH15A","18.259109","1584542616656718750"
"TTH15A","18.218623","1584543256656718750"
"TTH15A","18.623482","1584497944656718750"
"TTH15A","18.582996","1584501272648906250"
"TTH15A","18.623482","1584501400652812500"
"TTH15A","18.218623","1584543376656718750"
"TTH15A","18.623482","1584502040656718750"
"TTH15A","18.582996","1584502296656718750"
"TTH15A","18.623482","1584503064656718750"
"TTH15A","18.582996","1584503192656718750"
"TTH15A","19.109312","1584457496648906250"
"TTH15A","19.068826","1584457624652812500"
"TTH15A","20.322581","1584372760648906250"
"TTH15A","18.987854","1583508504648906250"
"TTH15A","18.259109","1579579416652812500"
"TTH15A","18.218623","1579585432652812500"
"TTH15A","18.259109","1579587608648906250"
