date,county,sum_sale_dollars,sum_sale_liters
2012-07-06T00:00:00.000,Cedar,9264.81,787.06
2013-01-02T00:00:00.000,Buena Vista,21653.67,1567.12
2017-07-11T00:00:00.000,CALHOUN,8192.11,716.99
2014-06-16T00:00:00.000,Lee,60784.24,5190.27
2014-09-22T00:00:00.000,Cass,13133.71,1028.57
2018-01-30T00:00:00.000,MADISON,1469.64,125.25
2012-10-17T00:00:00.000,Iowa,23754.78,1648.70
2018-02-01T00:00:00.000,FLOYD,18.12,1.90
2019-04-13T00:00:00.000,APPANOOSE,3127.86,241.70
2016-11-04T00:00:00.000,BUTLER,5364.54,451.50
2015-06-10T00:00:00.000,Lucas,7311.94,518.41
2014-10-28T00:00:00.000,Story,29174.17,2227.15
2016-09-19T00:00:00.000,Henry,6437.22,543.00
2015-06-30T00:00:00.000,Johnson,220003.87,13460.35
2018-06-18T00:00:00.000,IOWA,6874.32,648.79
2014-08-26T00:00:00.000,Emmet,18763.46,2026.12
2019-08-02T00:00:00.000,POTTAWATTA,63062.36,4261.45
2012-12-04T00:00:00.000,Butler,943.25,87.25
2012-03-20T00:00:00.000,Cedar,1645.29,114.50
2017-10-09T00:00:00.000,Linn,4443.81,352.08
2017-01-09T00:00:00.000,JASPER,1857.85,145.50
2015-09-02T00:00:00.000,Webster,5259.29,363.22
2012-05-08T00:00:00.000,Iowa,6968.76,583.66
2012-01-17T00:00:00.000,Cass,14043.41,1049.60
2012-04-11T00:00:00.000,Des Moines,7831.47,537.05
2013-07-29T00:00:00.000,Jasper,12887.72,1045.24
2013-02-06T00:00:00.000,Grundy,557.30,54.75
2014-03-17T00:00:00.000,Des Moines,57430.36,4272.65
2016-05-23T00:00:00.000,Buchanan,14812.01,1079.09
2014-07-01T00:00:00.000,Henry,5827.32,445.50
2017-09-22T00:00:00.000,MONTGOMERY,13101.88,903.56
2012-07-16T00:00:00.000,Cherokee,22946.00,1940.05
2013-07-11T00:00:00.000,Jones,10841.14,879.24
2015-11-18T00:00:00.000,Sac,14031.17,1049.56
2015-03-16T00:00:00.000,Butler,864.36,103.50
2019-02-27T00:00:00.000,POLK,52950.45,3439.88
2018-07-05T00:00:00.000,STORY,28787.27,1744.32
2012-08-07T00:00:00.000,Montgomery,10628.47,969.78
2018-12-21T00:00:00.000,Polk,28164.88,1662.05
2014-12-02T00:00:00.000,Butler,4472.79,419.21
2018-06-29T00:00:00.000,CLAYTON,10276.26,868.48
2012-10-26T00:00:00.000,Cerro Gordo,162771.65,12455.50
2012-07-31T00:00:00.000,Emmet,10715.15,989.13
2019-07-11T00:00:00.000,CERRO GORD,84762.89,5859.97
2015-08-04T00:00:00.000,Taylor,3596.49,288.85
2015-06-02T00:00:00.000,Pottawattamie,111965.60,7693.36
2016-11-11T00:00:00.000,DALLAS,1410.24,54.00
2020-01-03T00:00:00.000,HUMBOLDT,8793.89,579.90
2018-01-24T00:00:00.000,CLAY,27648.86,2281.55
2013-09-06T00:00:00.000,Black Hawk,169711.79,10850.59
2019-02-07T00:00:00.000,JASPER,49012.97,4102.11
2013-07-08T00:00:00.000,,4787.75,387.00
2016-10-12T00:00:00.000,HUMBOLDT,14887.84,1341.42
