2015-060-00:00:30.114,18.744939
2015-060-00:00:30.882,18.7449
2015-060-00:02:38.114,18.785425
2015-060-00:02:38.882,18.7854
2015-060-00:04:46.114,18.785425
2015-060-00:04:46.882,18.7854
2015-060-00:06:54.114,18.825911
2015-060-00:06:54.882,18.8259
2015-060-00:09:02.114,18.866397
2015-060-00:09:02.882,18.8664
2015-060-00:11:10.114,18.906883
2015-060-00:11:10.882,18.9069
2015-060-00:13:18.114,18.947368
2015-060-00:13:18.882,18.9474
2015-060-00:15:26.114,18.987854
2015-060-00:15:26.882,18.9879
2015-060-00:17:34.114,19.02834
2015-060-00:17:34.882,19.0283
2015-060-00:19:42.114,19.109312
2015-060-00:19:42.882,19.1093
2015-060-00:21:50.114,19.109312
2015-060-00:21:50.882,19.1093
2015-060-00:23:58.114,19.149798
2015-060-00:23:58.882,19.1498
2015-060-00:26:06.114,19.190283
2015-060-00:26:06.882,19.1903
2015-060-00:28:14.106,19.190283
2015-060-00:30:22.103,19.190283
2015-060-00:30:22.871,19.1903
2015-060-00:32:30.110,18.947368
2015-060-00:32:30.877,18.9474
2015-060-00:34:38.110,18.987854
2015-060-00:34:38.877,18.9879
2015-060-00:36:46.106,18.987854
2015-060-00:36:46.875,18.9879
2015-060-00:38:54.110,18.906883
2015-060-00:38:54.877,18.9069
2015-060-00:41:02.114,18.906883
2015-060-00:43:10.110,18.906883
2015-060-00:45:18.110,18.906883
2015-060-00:47:26.114,18.906883
2015-060-00:49:34.110,18.906883
2015-060-00:51:42.110,18.906883
2015-060-00:53:50.110,18.906883
2015-060-00:55:58.110,18.906883
2015-060-00:58:06.064,18.906883
2015-060-00:58:06.832,18.9069
2015-060-01:00:14.064,19.109312
2015-060-01:00:14.832,19.1093
2015-060-01:02:22.114,19.02834
2015-060-01:02:22.882,19.0283
2015-060-01:04:30.114,19.02834
2015-060-01:04:30.882,19.0283
2015-060-01:06:38.114,18.987854
2015-060-01:06:38.882,18.9879
2015-060-01:08:46.114,18.987854
2015-060-01:10:54.114,18.987854
2015-060-01:13:02.114,18.987854
2015-060-01:15:10.114,18.987854
2015-060-01:17:18.114,18.987854
2015-060-01:19:26.114,18.987854
2015-060-01:21:34.114,18.987854
2015-060-01:21:34.882,18.9879
2015-060-01:23:42.114,19.02834
2015-060-01:23:42.882,19.0283
2015-060-01:25:50.114,19.02834
2015-060-01:27:58.114,19.02834
2015-060-01:30:06.114,19.02834
2015-060-01:32:14.114,19.02834
2015-060-01:34:22.114,19.02834
2015-060-01:36:30.114,19.02834
2015-060-01:38:38.114,19.02834
2015-060-01:40:46.114,19.02834
2015-060-01:42:54.114,19.02834
2015-060-01:42:54.882,19.0283
2015-060-01:45:02.114,19.068826
2015-060-01:45:02.882,19.0688
2015-060-01:47:10.114,19.068826
2015-060-01:47:10.882,19.0688
2015-060-01:49:18.114,19.109312
